                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.68124,                0.36776,                0.89625,                  0.891,                0.91803,                0.94455,                0.67228,                 1.0325,                0.50996,                 1.0919,               0.000438,               0.000438,               0.000438
                     73,                0.69779,                0.38169,                0.89871,                0.90337,                0.88934,                0.93898,                0.66777,                 1.0287,                0.50966,                  1.102,               0.000416,               0.000416,               0.000416
                     74,                 0.6853,                0.37254,                0.88799,                0.91575,                0.88115,                0.93782,                0.66161,                 1.0608,                0.52429,                 1.1173,               0.000394,               0.000394,               0.000394
                     75,                0.69431,                0.37238,                0.90145,                0.92769,                0.87705,                 0.9402,                0.65632,                 1.0564,                0.51614,                 1.1064,               0.000372,               0.000372,               0.000372
                     76,                0.68097,                0.36559,                0.89673,                0.94307,                0.88253,                0.94532,                0.66762,                 1.0326,                0.51707,                 1.0969,                0.00035,                0.00035,                0.00035
                     77,                0.66284,                0.36121,                 0.8905,                0.92342,                0.88954,                0.94471,                0.66903,                 1.0195,                 0.5078,                 1.0873,               0.000328,               0.000328,               0.000328
                     78,                0.66652,                0.36667,                0.88561,                 0.9122,                0.89754,                0.94528,                0.66598,                 1.0281,                0.50491,                 1.0895,               0.000306,               0.000306,               0.000306
                     79,                0.64857,                0.36603,                0.89567,                0.92667,                0.88044,                0.94305,                0.66403,                 1.0364,                0.50882,                 1.0892,               0.000284,               0.000284,               0.000284
                     80,                0.63395,                0.34917,                 0.8848,                  0.909,                0.90065,                 0.9419,                0.66491,                 1.0262,                0.51938,                 1.0865,               0.000262,               0.000262,               0.000262
                     81,                0.66031,                0.35612,                0.87671,                0.89431,                0.89344,                0.93379,                0.66314,                 1.0181,                0.52767,                 1.0927,                0.00024,                0.00024,                0.00024
                     82,                0.63881,                 0.3437,                0.87233,                0.89443,                0.90164,                0.93986,                0.66481,                 1.0118,                0.51551,                 1.0908,               0.000218,               0.000218,               0.000218
                     83,                0.64139,                0.34291,                 0.8768,                0.90049,                0.90164,                0.94168,                0.66253,                  1.025,                 0.5159,                 1.1073,               0.000196,               0.000196,               0.000196
                     84,                0.62969,                0.33293,                0.86805,                0.90946,                0.87705,                0.93768,                 0.6673,                 1.0106,                0.51165,                 1.0947,               0.000174,               0.000174,               0.000174
                     85,                  0.612,                0.33053,                0.86969,                0.89427,                0.89754,                0.94155,                0.67074,                 1.0263,                0.52631,                 1.0894,               0.000152,               0.000152,               0.000152
                     86,                0.61263,                0.32722,                 0.8667,                0.91624,                0.89658,                0.94858,                0.67264,                 1.0205,                0.51146,                 1.0842,                0.00013,                0.00013,                0.00013
                     87,                0.59889,                0.31588,                0.86413,                0.91313,                0.90473,                0.94652,                0.67968,                  1.018,                0.50085,                 1.0873,               0.000108,               0.000108,               0.000108
                     88,                  0.584,                0.31132,                0.84248,                0.91904,                0.89754,                0.94687,                0.67475,                 1.0267,                0.50408,                 1.0919,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                0.58527,                0.31375,                0.85087,                0.91194,                0.89125,                0.94568,                0.67696,                 1.0268,                0.50851,                 1.0884,                6.4e-05,                6.4e-05,                6.4e-05
                     90,                 0.5955,                0.31707,                0.85785,                0.91493,                0.89344,                0.94576,                0.67319,                 1.0298,                0.50404,                 1.0848,                4.2e-05,                4.2e-05,                4.2e-05
